# Time (s),Altitude (ft),Position East of launch (ft),Position North of launch (ft),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
0,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.04,1.6288e-4,0,0,0,0,0
0.05,0.0011597,0,0,0,0,0
0.06,0.0042863,0,0,0,0,0
0.07,0.011311,0,0,0,0,0
0.08,0.024196,0,0,0,0,0
0.09,0.044905,0,0,0,0,0
0.1,0.075403,0,0,0,0,0
0.11,0.11766,0,0,0,0,0
0.12,0.17364,0,0,0,0,0
0.13,0.24547,0,0,0,0,0
0.14,0.33536,0,0,0,0,0
0.15,0.44559,0,0,0,0,0
0.16,0.57843,0,0,0,0,0
0.17,0.73615,0,0,0,0,0
0.18,0.92102,0,0,0,0,0
0.19,1.1353,0,0,0,0,0
0.2,1.3816,0,0,0,0,0
0.21,1.6623,0,0,0,0,0
0.22,1.9801,0,0,0,0,0
0.22973,2.3276,0,0,0,0,0
0.23844,2.6722,0,0,0,0,0
0.24635,3.0145,0,0,0,0,0
0.25363,3.3551,0,0,0,0,0
0.26455,3.9143,-4.5102e-4,0,0,0.0023348,-2.7115e-7
0.28093,4.868,-0.0028986,0,0,0.0066265,4.7362e-7
0.30549,6.5597,-0.010765,0,0,0.01472,-1.8753e-6
0.33622,9.0313,-0.027602,1.6659e-7,0,0.026479,-2.0766e-6
0.36461,11.563,-0.049119,5.0107e-7,0,0.037409,-3.3691e-6
0.39488,14.461,-0.076312,1.0667e-6,0,0.047583,4.9995e-7
0.43262,18.324,-0.11159,2.024e-6,0,0.056262,2.7965e-6
0.48262,23.827,-0.1488,3.4795e-6,0,-0.058236,-1.4235e-5
0.53262,29.735,-0.15896,5.4936e-6,0,-0.048871,-1.9801e-5
0.57039,34.449,-0.13868,7.7626e-6,0,-0.034978,3.1374e-6
0.59547,37.695,-0.10853,8.6086e-6,0,-0.02282,-1.8242e-6
0.61684,40.531,-0.071109,8.8354e-6,0,-0.011319,-1.3569e-5
0.63717,43.289,-0.025152,8.2727e-6,0,-1.3763e-4,-1.0272e-5
0.65753,46.107,0.030902,6.5584e-6,0,0.010747,-1.7245e-5
0.6789,49.126,0.10018,3.2417e-6,-5.8893e-9,0.021435,-2.9975e-5
0.70242,52.519,0.18789,-2.9753e-6,-7.7032e-9,0.031508,-4.0731e-5
0.73227,56.929,0.31409,-1.6055e-5,0,0.039057,-1.1071e-4
0.77705,63.76,0.52463,-4.8e-5,-1.1183e-8,-0.035596,-4.6254e-5
0.81878,70.353,0.73126,-9.0077e-5,0,-0.01877,-2.2383e-5
0.84092,73.94,0.84155,-1.166e-4,-9.2626e-9,-0.0070611,-1.1239e-5
0.86122,77.281,0.94232,-1.4237e-4,-1.3436e-8,0.0040207,-2.604e-5
0.88211,80.772,1.0457,-1.6937e-4,-1.3579e-8,0.01448,-3.9637e-6
0.90621,84.863,1.1654,-2.0046e-4,-1.4741e-8,0.024025,-1.799e-5
0.94102,90.893,1.3423,-2.4447e-4,-1.4346e-8,0.03045,1.2753e-4
0.99102,99.797,1.6152,-3.1852e-4,-2.3624e-8,-0.024939,2.8809e-5
1.0407,108.93,1.9199,-4.4993e-4,-2.4652e-8,-0.0095807,4.5981e-5
1.0707,114.56,2.1224,-5.6818e-4,-2.2203e-8,0.0012527,5.8437e-5
1.1041,120.94,2.3644,-7.2449e-4,-1.2324e-8,0.010002,1.1665e-4
1.1541,130.72,2.7521,-9.5939e-4,-1.1075e-8,-0.010131,4.2395e-5
1.2041,140.75,3.1599,-0.0011318,-4.4327e-8,-0.00139,-2.5565e-5
1.2541,151.03,3.5838,-0.0012142,-1.7782e-8,0.0081022,-1.0006e-4
1.3041,161.53,4.0257,-0.0012236,-2.6002e-8,-0.009854,-1.4546e-4
1.3541,172.26,4.492,-0.0011878,-3.8071e-8,-0.0043218,-4.1815e-5
1.4041,183.2,4.9851,-0.0011865,-3.3014e-8,0.0019986,-1.2279e-4
1.4541,194.34,5.5028,-0.0012731,-3.5514e-8,-0.0036066,-2.1871e-4
1.5041,205.67,6.0397,-0.0013973,-2.3886e-8,0.0023393,-4.0058e-5
1.5541,217.19,6.5924,-0.0015109,0,0.0072463,-2.3055e-4
1.6041,228.88,7.1643,-0.0016038,1.9888e-8,-0.003773,-5.7674e-5
1.6541,240.58,7.7469,-0.0016759,5.8495e-8,0.0015212,9.7077e-6
1.7041,252.07,8.3219,-0.0017334,7.1419e-8,0.0030666,-3.1187e-4
1.7541,263.3,8.8823,-0.0017906,7.2698e-8,-0.0025196,-8.4848e-5
1.8041,274.28,9.4273,-0.0018729,6.7142e-8,0.0020578,-5.1067e-5
1.8541,285,9.9547,-0.0019621,7.5977e-8,0.009603,2.0366e-5
1.9041,295.49,10.466,-0.0020521,8.2594e-8,-0.009519,3.6808e-5
1.9541,305.74,10.968,-0.0021241,3.3442e-8,-1.953e-4,2.9947e-5
2.0041,315.76,11.464,-0.002163,1.7858e-8,0.0062247,3.3822e-5
2.0541,325.56,11.948,-0.0021854,0,-0.0014313,1.6797e-5
2.1041,335.15,12.417,-0.0022102,1.4096e-8,0.0052684,-4.2555e-6
2.1541,344.53,12.872,-0.0022437,1.621e-8,0.007463,-4.973e-4
2.2041,353.7,13.317,-0.0022679,0,-0.0038889,1.9263e-5
2.2541,362.68,13.755,-0.0022718,2.0013e-8,0.0032998,-2.1872e-5
2.3041,371.46,14.188,-0.0022574,9.4531e-9,0.0083382,1.4097e-5
2.3541,380.06,14.614,-0.00224,5.4252e-9,-0.009111,6.1972e-5
2.4041,388.47,15.03,-0.0022143,-8.2216e-9,-0.0057171,2.4241e-5
