# Time (s),Altitude (ft)
0,0
0.01,0
0.02,0
0.03,1.2221e-4
0.04,6.9434e-4
0.05,0.0021272
0.06,0.004832
0.07,0.0092197
0.08,0.015702
0.09,0.02469
0.1,0.036596
0.11,0.051831
0.12,0.070807
0.13,0.094068
0.14,0.12256
0.15,0.1575
0.16,0.20012
0.17,0.25166
0.18,0.31327
0.19,0.38593
0.2,0.47044
0.21,0.56762
0.22,0.67828
0.23,0.80324
0.24,0.94331
0.25,1.0993
0.26,1.272
0.27,1.4623
0.28,1.671
0.29,1.8994
0.3,2.1488
0.31,2.4206
0.32,2.7163
0.33,3.0374
0.33982,3.3787
0.35455,3.9424
0.37193,4.6934
0.38775,5.4641
0.40213,6.2421
0.41526,7.0208
0.42745,7.8058
0.43873,8.5871
0.44909,9.3527
0.45858,10.096
0.46717,10.8
0.47498,11.464
0.48213,12.09
0.48874,12.68
0.49489,13.237
0.50062,13.761
0.50602,14.26
0.51113,14.736
0.51597,15.19
0.52058,15.624
0.52496,16.039
0.52914,16.436
0.53312,16.817
0.53693,17.182
0.54056,17.533
0.54404,17.87
0.54738,18.194
0.55058,18.505
0.55366,18.806
0.5566,19.094
0.55942,19.371
0.56214,19.639
0.56475,19.897
0.56726,20.146
0.56976,20.394
0.57226,20.642
0.57476,20.891
0.57726,21.141
0.57976,21.391
0.58226,21.642
0.58476,21.893
0.58726,22.145
0.58976,22.397
0.59226,22.65
0.59476,22.903
0.59726,23.157
0.59976,23.411
0.60226,23.666
0.60476,23.921
0.60726,24.176
0.60976,24.432
0.61226,24.689
0.61476,24.945
0.61726,25.202
0.61976,25.46
0.62226,25.717
0.62476,25.975
0.62726,26.234
0.62976,26.492
0.63226,26.751
0.63476,27.01
0.63726,27.269
0.63976,27.529
0.64226,27.788
0.64476,28.048
0.64726,28.308
0.64976,28.568
0.65226,28.827
0.65476,29.087
0.65726,29.347
0.65976,29.607
0.66226,29.867
0.66476,30.126
0.66726,30.386
0.66976,30.645
0.67226,30.904
0.67476,31.162
0.67726,31.42
0.67976,31.678
0.68226,31.934
0.68476,32.191
0.68726,32.446
0.68976,32.701
0.69226,32.954
0.69476,33.207
0.69726,33.458
0.69976,33.709
0.70226,33.957
0.70476,34.205
0.70726,34.451
0.70976,34.695
0.71226,34.937
0.71476,35.178
0.71726,35.416
0.71976,35.652
0.72226,35.886
0.72476,36.118
0.72726,36.348
0.72976,36.575
0.73226,36.8
0.73476,37.022
0.73726,37.242
0.73976,37.46
0.74226,37.676
0.74476,37.89
0.74726,38.101
0.74976,38.311
0.75226,38.519
0.75476,38.725
0.75726,38.929
0.75976,39.132
0.76226,39.334
0.76476,39.534
0.76726,39.733
0.76976,39.931
0.77226,40.128
0.77476,40.323
0.77726,40.517
0.77976,40.711
0.78226,40.903
0.78476,41.094
0.78726,41.285
0.78976,41.474
0.79226,41.662
0.79476,41.85
0.79726,42.036
0.79976,42.221
0.80226,42.406
0.80476,42.589
0.80726,42.771
0.80976,42.952
0.81226,43.132
0.81476,43.311
0.81726,43.489
0.81976,43.666
0.82226,43.842
0.82476,44.016
0.82726,44.19
0.82976,44.362
0.83226,44.533
0.83476,44.703
0.83726,44.872
0.83976,45.039
0.84226,45.205
0.84476,45.371
0.84726,45.534
0.84976,45.697
0.85226,45.859
0.85476,46.019
0.85726,46.178
0.85976,46.336
0.86226,46.492
0.86476,46.648
0.86726,46.802
0.86976,46.955
0.87226,47.107
0.87476,47.258
0.87726,47.408
0.87976,47.557
0.88226,47.705
0.88476,47.851
0.88726,47.997
0.88976,48.141
0.89226,48.285
0.89476,48.428
0.89726,48.569
0.89976,48.71
0.90226,48.849
0.90476,48.988
0.90726,49.126
0.90976,49.262
0.91226,49.398
0.91476,49.533
0.91726,49.667
0.91976,49.8
0.92226,49.932
0.92476,50.064
0.92726,50.194
0.92976,50.324
0.93226,50.453
0.93476,50.581
0.93726,50.708
0.93976,50.834
0.94226,50.96
0.94476,51.085
0.94726,51.209
0.94976,51.332
0.95226,51.454
0.95476,51.576
0.95726,51.696
0.95976,51.816
0.96226,51.936
0.96476,52.054
0.96726,52.171
0.96976,52.288
0.97226,52.404
0.97476,52.52
0.97726,52.634
0.97976,52.748
0.98226,52.86
0.98476,52.972
0.98726,53.084
0.98976,53.194
0.99226,53.304
0.99476,53.413
0.99726,53.521
0.99993,53.635
1.0029,53.763
1.0064,53.91
1.0107,54.088
1.0163,54.318
1.0219,54.542
1.0275,54.762
1.0331,54.977
1.0387,55.189
1.0443,55.397
1.0499,55.603
1.0546,55.77
1.0588,55.916
1.0626,56.048
1.0662,56.171
1.0696,56.285
1.0729,56.393
1.0761,56.497
1.0792,56.596
1.0822,56.692
1.0852,56.784
1.0881,56.874
1.091,56.961
1.0938,57.047
1.0967,57.13
1.0995,57.212
1.1022,57.293
1.105,57.371
1.1078,57.449
1.1105,57.525
1.1133,57.6
1.1161,57.675
1.1188,57.748
1.1216,57.82
1.1244,57.892
1.1285,57.996
1.1325,58.096
1.1365,58.192
1.1404,58.285
1.1443,58.375
1.1481,58.462
1.152,58.547
1.1558,58.629
1.1595,58.709
1.1633,58.788
1.1671,58.864
1.1709,58.939
1.1747,59.013
1.1785,59.085
1.1824,59.156
1.1863,59.225
1.1902,59.293
1.1941,59.36
1.1981,59.427
1.2022,59.492
1.2063,59.556
1.2105,59.619
1.2147,59.681
1.219,59.742
1.2234,59.802
1.2278,59.861
1.2323,59.92
1.237,59.977
1.2417,60.034
1.2465,60.089
1.2514,60.144
1.2565,60.197
1.2617,60.25
1.267,60.302
1.2725,60.352
1.2782,60.402
1.284,60.45
1.29,60.497
1.2962,60.543
1.3025,60.587
1.3091,60.63
1.3159,60.671
1.3229,60.711
1.3289,60.742
1.3353,60.773
1.342,60.804
1.3491,60.833
1.3567,60.862
1.365,60.89
1.374,60.917
1.3837,60.943
1.3941,60.967
1.4054,60.988
1.4176,61.008
1.431,61.026
1.4451,61.042
1.4594,61.056
1.4739,61.069
1.4885,61.082
1.5032,61.097
1.5179,61.115
1.5324,61.137
1.543,61.157
1.5511,61.174
1.5579,61.19
1.5639,61.206
1.5693,61.221
1.5743,61.236
1.5788,61.251
1.5831,61.266
1.5872,61.281
1.591,61.296
1.5947,61.311
1.5982,61.325
1.6015,61.34
1.6048,61.355
1.6079,61.37
1.6109,61.385
1.6138,61.4
1.6167,61.415
1.6194,61.43
1.6221,61.445
1.6248,61.461
1.6273,61.476
1.6299,61.492
1.6324,61.507
1.6349,61.523
1.6386,61.548
1.6425,61.575
1.6462,61.602
1.6498,61.629
1.6533,61.655
1.6567,61.681
1.6599,61.707
1.6631,61.733
1.6662,61.76
1.6692,61.786
1.6721,61.812
1.675,61.838
1.6778,61.864
1.6806,61.891
1.6833,61.917
1.686,61.944
1.6887,61.971
1.6913,61.998
1.6939,62.025
1.6965,62.052
1.6991,62.08
1.7016,62.108
1.7041,62.136
1.7066,62.164
1.7091,62.193
1.7116,62.222
1.7141,62.252
1.7166,62.282
1.7191,62.313
1.7216,62.344
1.7241,62.375
1.7266,62.407
1.7291,62.44
1.7316,62.472
1.7341,62.505
1.7366,62.539
1.7392,62.574
1.7417,62.609
1.7443,62.645
1.7469,62.681
1.7496,62.719
1.7522,62.758
1.755,62.798
1.7578,62.839
1.7607,62.882
1.7636,62.926
1.7667,62.973
1.7698,63.021
1.7731,63.072
1.7766,63.126
1.7802,63.183
1.784,63.245
1.7882,63.312
